ATS_CODE,BORO,BORONUM,LOC_CODE,ADDRESS,STATE_CODE,ZIP,City,DBN,Dist,MS,Borough,CSD,Total Stud,Students T,Percent of,Total St_1,Percent _1,Fewer than,Fewer th_1,Gifted and,HS Program,Citywide,result_num,status,formatted_,place_id,location_t,latlong
09X218      ,X,2,X218,1220 GERARD AVENUE,NY,"10452",BRONX,09X218,"9",P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL (09X218),Bronx,D9,"106","31","29.2",0-5,NA,"0","1",No,No,No,,,,,,
18K285      ,K,2,K285,5909 BEVERLY ROAD,NY,"11203",BROOKLYN,18K285,"18",I.S. 285 MEYER LEVIN (18K285),Brooklyn,D18,"267","46","17.2",0-5,NA,"0","1",No,No,No,,,,,,
12X214      ,X,2,X214,1970 WEST FARMS ROAD,NY,"10460",BRONX,12X214,"12",P.S. 214 (12X214),Bronx,D12,"138","22","15.9",0-5,NA,"0","1",No,No,No,,,,,,
09X215      ,X,2,X215,3630 THIRD AVENUE,NY,"10456",BRONX,09X215,"9",KAPPA (09X215),Bronx,D9,"101","20","19.8",0-5,NA,"0","1",No,No,No,,,,,,
84X185,X,2,X185,1001 INTERVALE AVENUE,NY,"10459",BRONX,84X185,"84",BRONX LIGHTHOUSE CHARTER SCHOOL (84X185),Bronx,Charter,"10",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
13K301      ,K,2,K301,344 MONROE STREET,NY,"11216",BROOKLYN,13K301,"13",SATELLITE EAST MIDDLE SCHOOL (13K301),Brooklyn,D13,"27",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
11X180      ,X,2,X180,700 BAYCHESTER AVENUE,NY,"10475",BRONX,11X180,"11",M.S. 180 DR. DANIEL HALE WILLIAMS (11X180),Bronx,D11,"365","149","40.8",0-5,NA,"0","1",No,No,No,,,,,,
11X181      ,X,2,X181,800 BAYCHESTER AVENUE,NY,"10475",BRONX,11X181,"11",I.S. 181 PABLO CASALS (11X181),Bronx,D11,"279","108","38.7","6","5.6","0","0",No,No,No,,,,,,
11X175      ,X,2,X175,200 CITY ISLAND AVENUE,NY,"10464",BRONX,11X175,"11",P.S. 175 CITY ISLAND (11X175),Bronx,D11,"44","13","29.5",0-5,NA,"0","1",No,No,No,,,,,,
75X176      ,X,2,X176,850 BAYCHESTER AVENUE,NY,"10475",BRONX,75X176,"75",P.S. X176 (75X176),Bronx,D75,"16",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
19K292      ,K,2,K292,301 VERMONT STREET,NY,"11207",BROOKLYN,19K292,"19",J.H.S. 292 MARGARET S. DOUGLAS (19K292),Brooklyn,D19,"167","33","19.8",0-5,NA,"0","1",No,No,No,,,,,,
16K267      ,K,2,K267,800 GATES AVENUE,NY,"11221",BROOKLYN,16K267,"16","M.S. 267 MATH, SCIENCE & TECHNOLOGY (16K267)",Brooklyn,D16,"70","28","40",0-5,NA,"0","1",No,No,No,,,,,,
12X190      ,X,2,X190,1550 CROTONA PARK EAST,NY,"10460",BRONX,12X190,"12",E.S.M.T- I.S. 190 (12X190),Bronx,D12,"89","13","14.6",0-5,NA,"0","1",No,No,No,,,,,,
13K265      ,K,2,K265,101 PARK AVENUE,NY,"11205",BROOKLYN,13K265,"13",DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS (13K265),Brooklyn,D13,"16",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
13K266      ,K,2,K266,62 PARK PLACE,NY,"11217",BROOKLYN,13K266,"13",M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL (13K266),Brooklyn,D13,"56","14","25",0-5,NA,"0","1",No,No,No,,,,,,
75X186      ,X,2,X186,750 JENNINGS STREET,NY,"10459",BRONX,75X186,"75",P186X WALTER J. DAMROSCH SCHOOL (75X186),Bronx,D75,"21",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
75X188      ,X,2,X188,770 GROTE STREET,NY,"10460",BRONX,75X188,"75",P.S. X188 (75X188),Bronx,D75,"7",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
21K281      ,K,2,K281,8787 24 AVENUE,NY,"11214",BROOKLYN,21K281,"21",I.S. 281 JOSEPH B CAVALLARO (21K281),Brooklyn,D21,"408","145","35.5","18","12.4","0","0",No,No,No,,,,,,
22K278      ,K,2,K278,1925 STUART STREET,NY,"11229",BROOKLYN,22K278,"22",J.H.S. 278 MARINE PARK (22K278),Brooklyn,D22,"358","65","18.2","11","16.9","0","0",No,No,No,,,,,,
07X151      ,X,2,X151,250 EAST 156 STREET,NY,"10451",BRONX,07X151,"7",J.H.S. 151 LOU GEHRIG (07X151),Bronx,D7,"61",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
75X168      ,X,2,X168,339 MORRIS AVENUE,NY,"10451",BRONX,75X168,"75",P.S. 168 (75X168),Bronx,D75,"13",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
17K246      ,K,2,K246,72 VERONICA PLACE,NY,"11226",BROOKLYN,17K246,"17",M.S. 246 WALT WHITMAN (17K246),Brooklyn,D17,"124","14","11.3",0-5,NA,"0","1",No,No,No,,,,,,
84X165,X,2,X165,116-118 EAST 169 STREET,NY,"10456",BRONX,84X165,"84",GRAND CONCOURSE CHARTER SCHOOL (84X165),Bronx,Charter,"49","19","38.8",0-5,NA,"0","1",No,No,No,,,,,,
